Journal_Title,JCR_Version,Total_Citations,JIF,Eigenfactor Score
REFERENCE & USER SERVICES QUARTERLY,2017,284,0.377,0.00017
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2017,306,0.344,5.00E-05
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2017,106,0.333,4.00E-05
SERIALS REVIEW,2017,182,0.31,0.00016
LIBRARY AND INFORMATION SCIENCE,2017,24,0.3,2.00E-05
African Journal of Library Archives and Information Science,2017,41,0.286,4.00E-05
Transinformacao,2017,73,0.255,5.00E-05
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2017,110,0.243,9.00E-05
INTERLENDING & DOCUMENT SUPPLY,2017,63,0.242,2.00E-05
Information & Culture,2017,45,0.229,0.00024
Investigacion Bibliotecologica,2017,108,0.212,4.00E-05
Informacao & Sociedade-Estudos,2017,74,0.159,3.00E-05
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2017,23,0.159,0
ECONTENT,2017,18,0.039,3.00E-05
Informacios Tarsadalom,2017,27,0.023,0
Journal of the Australian Library and Information Association,2017,2,Not Available,0
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2018,4885,5.063,0.00505
Journal of Computer-Mediated Communication,2018,4671,4.896,0.00504
Journal of Knowledge Management,2018,4349,4.604,0.0018
MIS QUARTERLY,2018,17042,4.373,0.0099
GOVERNMENT INFORMATION QUARTERLY,2018,3430,4.311,0.00246
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2018,9319,4.292,0.01951
INFORMATION & MANAGEMENT,2018,7129,4.12,0.0046
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,2018,1665,4,0.0011
INFORMATION PROCESSING & MANAGEMENT,2018,3655,3.892,0.0029
Journal of Informetrics,2018,2672,3.879,0.00505
TELEMATICS AND INFORMATICS,2018,2253,3.714,0.0036
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2018,5816,3.545,0.00553
INFORMATION SYSTEMS JOURNAL,2018,1712,3.286,0.00172
JOURNAL OF INFORMATION TECHNOLOGY,2018,1392,3.225,0.00165
Journal of the Association for Information Systems,2018,1986,3.103,0.00209
QUALITATIVE HEALTH RESEARCH,2018,9100,3.03,0.00788
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2018,4899,3.013,0.00351
SOCIAL SCIENCE COMPUTER REVIEW,2018,1823,2.922,0.00274
RESEARCH EVALUATION,2018,1421,2.875,0.00191
SCIENTOMETRICS,2018,10714,2.77,0.01157
Journal of the Association for Information Science and Technology,2018,2567,2.738,0.00885
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,2018,2944,2.603,0.00255
INFORMATION SYSTEMS RESEARCH,2018,7491,2.457,0.00841
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2018,1125,2.42,0.0014
Ethics and Information Technology,2018,838,2.34,0.00076
JOURNAL OF INFORMATION SCIENCE,2018,1953,2.327,0.00156
Information and Organization,2018,674,2.269,0.00081
International Journal of Computer-Supported Collaborative Learning,2018,710,2.206,0.00074
MIS Quarterly Executive,2018,559,2.206,0.00059
LEARNED PUBLISHING,2018,528,2.2,0.00095
Journal of Enterprise Information Management,2018,1101,2.126,0.00073
TELECOMMUNICATIONS POLICY,2018,1801,2,0.00207
COLLEGE & RESEARCH LIBRARIES,2018,1075,1.946,0.00125
ONLINE INFORMATION REVIEW,2018,1540,1.928,0.00152
INFORMATION SOCIETY,2018,1346,1.86,0.00104
JOURNAL OF HEALTH COMMUNICATION,2018,4290,1.773,0.00766
Aslib Journal of Information Management,2018,297,1.702,0.00076
JOURNAL OF ACADEMIC LIBRARIANSHIP,2018,1465,1.608,0.00171
JOURNAL OF DOCUMENTATION,2018,1946,1.573,0.0015
Profesional de la Informacion,2018,878,1.505,0.00079
Information Technology for Development,2018,588,1.493,0.00053
Knowledge Management Research & Practice,2018,653,1.485,0.00042
LIBRARY & INFORMATION SCIENCE RESEARCH,2018,1087,1.425,0.00099
JOURNAL OF SCHOLARLY PUBLISHING,2018,189,1.27,0.00026
Information Development,2018,489,1.265,0.00061
Information Technology & Management,2018,500,1.265,0.00035
Information Technology & People,2018,860,1.263,0.00091
LIBRARY HI TECH,2018,640,1.256,0.00065
REFERENCE SERVICES REVIEW,2018,569,1.25,0.00061
LIBRARY QUARTERLY,2018,552,1.24,0.00033
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2018,440,1.203,0.00051
Health Information and Libraries Journal,2018,933,1.179,0.00067
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,2018,543,1.103,0.00021
Journal of Global Information Management,2018,379,1.098,0.00013
Journal of Organizational and End User Computing,2018,200,1.093,0.00016
PORTAL-LIBRARIES AND THE ACADEMY,2018,555,1.037,0.00074
Malaysian Journal of Library & Information Science,2018,228,1,0.00018
Revista Espanola de Documentacion Cientifica,2018,347,0.985,0.00027
KNOWLEDGE ORGANIZATION,2018,402,0.979,0.00023
Journal of Global Information Technology Management,2018,219,0.923,0.0001
ELECTRONIC LIBRARY,2018,745,0.886,0.00049
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2018,489,0.868,0.00024
INFORMATION TECHNOLOGY AND LIBRARIES,2018,250,0.8,0.00013
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2018,929,0.799,0.00084
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2018,1315,0.763,0.00047
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2018,128,0.667,0.0001
LIBRARY TRENDS,2018,673,0.627,0.00034
INTERLENDING & DOCUMENT SUPPLY,2018,128,0.563,0.0002
LIBRI,2018,284,0.553,0.00017
SCIENTIST,2018,268,0.493,0.00038
LIBRARY RESOURCES & TECHNICAL SERVICES,2018,158,0.459,0.00014
REFERENCE & USER SERVICES QUARTERLY,2018,262,0.444,0.00023
LIBRARY JOURNAL,2018,376,0.438,0.00054
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2018,248,0.394,0.00007
Transinformacao,2018,120,0.373,0.00015
Journal of the Australian Library and Information Association,2018,10,0.348,0
Australian Library Journal,2018,146,0.346,0.00014
African Journal of Library Archives and Information Science,2018,82,0.345,0.00004
SERIALS REVIEW,2018,206,0.311,0.00024
Information & Culture,2018,78,0.302,0.00026
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2018,112,0.258,0.00012
Informacios Tarsadalom,2018,19,0.222,0.00001
Investigacion Bibliotecologica,2018,103,0.176,6.00E-05
Informacao & Sociedade-Estudos,2018,138,0.173,0.00001
LAW LIBRARY JOURNAL,2018,86,0.151,6.00E-05
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2018,33,0.08,0
LIBRARY AND INFORMATION SCIENCE,2018,31,0.056,0.00002
ECONTENT,2018,26,0.047,0.00001
Data Technologies and Applications,2018,1,Not Available,0
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,2019,"7,274",8.21,0.00627
Journal of Computer-Mediated Communication,2019,"4,756",5.366,0.00459
MIS QUARTERLY,2019,"19,612",5.361,0.00942
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,2019,"2,005",5.231,0.00161
INFORMATION & MANAGEMENT,2019,"8,292",5.155,0.00576
GOVERNMENT INFORMATION QUARTERLY,2019,"4,073",5.098,0.00321
INFORMATION PROCESSING & MANAGEMENT,2019,"4,176",4.787,0.00301
Journal of Knowledge Management,2019,"5,271",4.745,0.00233
Journal of Informetrics,2019,"3,493",4.611,0.00472
INFORMATION SYSTEMS JOURNAL,2019,"2,208",4.188,0.00243
TELEMATICS AND INFORMATICS,2019,"3,190",4.139,0.00574
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2019,"9,959",4.112,0.01741
MIS Quarterly Executive,2019,698,4.088,0.00081
International Journal of Computer-Supported Collaborative Learning,2019,796,4.028,0.00074
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2019,"5,754",3.949,0.00353
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2019,"6,259",3.733,0.00581
JOURNAL OF INFORMATION TECHNOLOGY,2019,"1,733",3.625,0.0021
INFORMATION SYSTEMS RESEARCH,2019,"8,364",3.585,0.00588
Information and Organization,2019,696,3.3,0.0008
Journal of the Association for Information Systems,2019,"2,607",2.957,0.00257
SCIENTOMETRICS,2019,"12,229",2.867,0.01286
Information Technology for Development,2019,782,2.733,0.00061
SOCIAL SCIENCE COMPUTER REVIEW,2019,"1,871",2.696,0.00306
Journal of Enterprise Information Management,2019,"1,410",2.659,0.00103
QUALITATIVE HEALTH RESEARCH,2019,"10,153",2.623,0.00867
LEARNED PUBLISHING,2019,667,2.606,0.00084
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,2019,"3,319",2.6,0.00276
RESEARCH EVALUATION,2019,"1,496",2.571,0.00211
Information Technology & People,2019,"1,191",2.495,0.00095
JOURNAL OF INFORMATION SCIENCE,2019,"1,984",2.41,0.00153
Journal of the Association for Information Science and Technology,2019,"2,997",2.41,0.00854
INFORMATION SOCIETY,2019,"1,460",2.378,0.00133
TELECOMMUNICATIONS POLICY,2019,"2,016",2.224,0.00204
Aslib Journal of Information Management,2019,426,2.222,0.001
Ethics and Information Technology,2019,854,2.068,0.00075
COLLEGE & RESEARCH LIBRARIES,2019,"1,162",2.052,0.00128
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,2019,"1,129",2.042,0.00154
Journal of Organizational and End User Computing,2019,304,1.882,0.00026
ONLINE INFORMATION REVIEW,2019,"1,671",1.805,0.0014
JOURNAL OF DOCUMENTATION,2019,"2,238",1.725,0.00118
JOURNAL OF HEALTH COMMUNICATION,2019,"4,207",1.596,0.00648
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS,2019,719,1.588,0.00034
Knowledge Management Research & Practice,2019,866,1.583,0.00052
Profesional de la Informacion,2019,945,1.58,0.00054
Journal of Global Information Technology Management,2019,313,1.571,0.00013
Malaysian Journal of Library & Information Science,2019,221,1.55,0.00019
LIBRARY & INFORMATION SCIENCE RESEARCH,2019,"1,173",1.485,0.00068
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,2019,596,1.479,0.00048
LIBRARY QUARTERLY,2019,623,1.468,0.00039
Information Development,2019,673,1.44,0.00068
Health Information and Libraries Journal,2019,943,1.356,0.00053
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,2019,107,1.333,0.00011
Revista Espanola de Documentacion Cientifica,2019,415,1.295,0.00021
PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,2019,466,1.24,0.00021
JOURNAL OF ACADEMIC LIBRARIANSHIP,2019,"1,560",1.235,0.00149
Information Technology & Management,2019,544,1.222,0.00034
LIBRARY HI TECH,2019,670,1.218,0.0005
Journal of Global Information Management,2019,399,1.213,0.0002
KNOWLEDGE ORGANIZATION,2019,395,0.977,0.00019
JOURNAL OF SCHOLARLY PUBLISHING,2019,180,0.956,0.00018
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2019,"1,294",0.951,0.00041
SCIENTIST,2019,301,0.939,0.00044
LIBRARY TRENDS,2019,722,0.836,0.00042
INFORMATION TECHNOLOGY AND LIBRARIES,2019,243,0.811,0.00012
ELECTRONIC LIBRARY,2019,729,0.792,0.00047
PORTAL-LIBRARIES AND THE ACADEMY,2019,580,0.783,0.00059
INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,2019,944,0.763,0.00063
REFERENCE SERVICES REVIEW,2019,502,0.735,0.00032
REFERENCE & USER SERVICES QUARTERLY,2019,316,0.708,0.00026
Data Technologies and Applications,2019,30,0.704,3.00E-05
African Journal of Library Archives and Information Science,2019,87,0.586,5.00E-05
LIBRI,2019,255,0.583,0.00013
Journal of the Australian Library and Information Association,2019,27,0.49,3.00E-05
LIBRARY RESOURCES & TECHNICAL SERVICES,2019,170,0.485,0.00019
Information & Culture,2019,80,0.484,0.00013
SERIALS REVIEW,2019,209,0.425,0.00021
Investigacion Bibliotecologica,2019,149,0.35,7.00E-05
LIBRARY AND INFORMATION SCIENCE,2019,40,0.316,1.00E-05
Transinformacao,2019,131,0.246,7.00E-05
Informacao & Sociedade-Estudos,2019,148,0.239,4.00E-05
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE,2019,102,0.179,9.00E-05
LIBRARY JOURNAL,2019,310,0.179,0.00025
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL,2019,264,0.172,6.00E-05
LAW LIBRARY JOURNAL,2019,126,0.14,5.00E-05
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,2019,26,0.14,0
Informacios Tarsadalom,2019,22,0.133,0
ECONTENT,2019,27,0.105,1.00E-05
